id,direction,clue,answer
１,down,東京にある競馬場のひとつ,ふちゆう
２,down,ひとを傷つけることもある,ぜん
３,down,涙が頬を〇〇〇,つたう
４,down,夏はジャケットいらんやろ,くーるびず
５,down,〇〇じゅう,まん
６,down,〇〇〇を寄せる,きたい
７,down,キラキラネームをつける親にはこれがない,ねーみんぐせんす
８,down,タンク職に必須,たて
９,down,〇〇〇のわるい,はぎれ
６１,down,ふなつきば,はとば
１１,down,〇〇のつまり,とど
１３,down,絶食しなきゃ,らまだん
１６,down,名取さなの言葉で「大便」,んち
６２,down,"あらゆるものが出す波動を読みとることで
１キロ先にいる相手の気持ちも理解できる",るかりお
１９,down,好きな総菜を発表します,んばぢ
２１,down,無謀と似てる,ゆうかん
２３,down,六兆年と一夜物語,いあ
２６,down,資産の一部を〇〇に換えて,きん
２７,down,雪がよく降る中国地方,さんいん
２８,down,福山雅治主演,がりれお
２９,down,おかわりにごはん,おいめし
３１,down,うごくな！うごいたら撃つ！,いかくしゃげき
３６,down,赤いスーツに金髪,かずれーざー
３８,down,異性の兄弟姉妹は恋人の隠語,はいしんしゃ
４０,down,鍋に入れると旨い団子,つみれ
４１,down,日本のシスター,あま
４３,down,〇士号,はく
４４,down,配線コードを切断する,につぱー
４６,down,２１グラムらしい,たましい
４９,down,きみ、明日から来なくていいから,かいこ
５０,down,また髪の話してる,はげ
５４,down,名取さなの言葉で「大便」,んこ
５５,down,ネカマたのし～,つり
,,,
１,across,とぅとぅる　とぅっとぅとぅる,ふう
２,across,言葉を失う,ぜつく
５,across,"コーヒーを淹れるための器具
別名モカポット",まきねつた
９,across,連載再会して大騒ぎ,はんたーはんたー
１０,across,重音,てと
１２,across,１/ｆ〇〇〇,ゆらぎ
１４,across,"よくわかんないけどエペで
使い忘れるとリスナーから
指示コメが来る",うると
１５,across,〇〇〇政策。治安が悪くなるかも,いみん
１７,across,最初で最大の罰,うまれる
１８,across,VIVANT。正しく発音できるかな,びばん
２０,across,キス,んちゅ
２２,across,"ワンピでナミがめっちゃ
描かされてた",かいず
２４,across,インドの乾燥大麻,
２５,across,沈んだら釣り上げる,うき
２７,across,"いち、にい、〇〇〇〇〇。
飲み物が有名な会社",さんがりあ
２９,across,〇〇にバッグを買ってもらおう,おぢ
３０,across,"青姦。どっちで読む派？
あおかん？それとも？",せいかん
３２,across,〇〇のカーニバル,りお
３３,across,〇〇諾々,いい
３４,across,鳴かずに四枚,あんかん
３５,across,〇〇〇菖蒲か杜若,いずれ
３６,across,生理でもこれを詰めて出勤,かいめん
３７,across,胸が〇〇思いだ,すく
３９,across,"これ次第では
百円が一万円になるかも？",おつず
４２,across,"フリーメイソンが世界を
〇〇〇してる",しはい
４５,across,"無いはずなのについつい
インスタ見ちゃう",みれん
４６,across,"おたまの別名らしいけど、
馴染みがあるのはカエルの幼体",たまじゃくし
４８,across,疲れた時に言われたい言葉,おつかれー
５０,across,よこはまのイカつい言い方,はま
５１,across,"〇〇っている方が好きって人もいる。
作者はパイパン派です。",しげ
５２,across,おっぱい,ぱい
５３,across,シスターに話を聞いてもらおう。顔が見えないから安心,ざんげしつ
５６,across,〇〇〇この夜,きよし
５８,across,ASMRでお姉さんに言ってもらいたい言葉,しーこしーこ
５９,across,にぼしの別名,いりこ
６０,across,寝室,ねや
